"FA" "MA" "Math" "SCIE" "READ"
"147932" 1 NA 554.926 491.926 464.698
"147933" 1 1 578.992 532.952 524.604
"147934" NA NA 568.786 544.798 511.276
"147935" NA 0 595.582 589.836 618.344
"147936" 1 0 523.142 523.068 491.634
"147937" 0 1 574.086 555.24 601.662
"147938" 0 0 537.552 534.726 560.746
"147939" NA NA 482.014 461.15 486.79
"147940" 1 1 569.024 563.072 484.822
"147941" 1 1 571.902 528.666 582.514
"147942" 0 0 587.874 561.674 553.518
"147943" 1 1 611.316 591.794 576.318
"147944" 1 NA 578.526 568.574 564.188
"147945" 1 1 514.574 519.432 472.794
"147946" 1 1 506.318 474.208 477.098
"147947" 1 1 580.628 561.49 547.004
"147948" 0 0 472.278 450.242 452.432
"147949" NA NA 494.164 460.126 412.35
"147950" 1 NA 483.65 537.43 464.458
"147951" NA NA 484.194 475.792 465.58
"147952" NA NA 521.506 488.008 385.172
"147953" NA NA 481.392 490.62 480.99
"147954" NA NA 547.912 526.8 489.072
"147955" 1 1 534.67 508.99 483.772
"147956" 1 1 479.134 503.58 484.326
"147957" NA NA 558.662 554.962 517.53
"147958" 0 0 588.806 593.472 608.808
"147959" NA NA 549.938 497.148 476.886
"147960" NA NA 561.078 554.96 501.816
"147961" NA NA 575.954 552.628 505.904
"147962" NA 1 563.88 509.828 468.868
"147963" NA NA 583.276 564.658 537.014
"147964" 1 1 640.606 669.936 625.276
"147965" NA NA 539.654 505.54 495.368
"147966" NA NA 552.038 521.298 491.156
"147967" 0 0 527.036 548.806 501.818
"147968" NA NA 454.204 448.376 450.564
"147969" NA NA 506.784 491.178 459.73
"147970" 0 0 535.84 502.368 433.514
"147971" 1 NA 522.518 487.168 433.996
"147972" 1 1 415.494 419.746 413.706
"147973" 0 0 422.348 507.406 512.768
"147974" NA 1 458.412 497.704 486.744
"147975" NA NA 467.058 472.994 407.94
"147976" NA NA 447.196 506.284 514.036
"147977" 0 1 517.066 589.836 578.216
"147978" NA NA 483.884 545.17 574.016
"147979" 0 0 467.448 453.414 498.212
"147980" NA NA 433.72 505.91 502.04
"147981" 1 1 477.73 507.87 531.118
"147982" 1 1 443.846 466.56 535.168
"147983" NA NA 543.24 539.666 524.024
"147984" 1 1 406.382 425.16 426.892
"147985" 1 0 495.566 506.938 482.9
"147986" 0 0 466.592 462.272 426.3
"147987" 1 0 418.766 411.916 421.252
"147988" 1 0 533.968 554.494 616.834
"147989" NA NA 435.122 516.168 518.886
"147990" 1 1 374.988 392.614 393.27
"147991" NA NA 501.8 533.144 484.984
"147992" 1 0 459.814 462.832 459.81
"147993" 0 0 438.862 439.424 512.768
"147994" 1 NA 514.962 535.752 517.45
"147995" 1 0 510.524 547.782 495.528
"147996" 0 0 444.624 441.942 433.246
"147997" 0 0 480.302 503.86 478.606
"147998" 1 NA 554.298 580.42 494.282
"147999" 1 1 491.442 524.84 545.974
"148000" 1 1 437.224 461.246 496.956
"148001" NA 1 532.49 579.02 534.284
"148002" NA NA 407.782 410.238 400.356
"148003" 1 1 537.322 566.246 586.01
"148004" 0 0 463.942 486.332 417.722
"148005" 1 0 613.578 653.802 543.182
"148006" 1 NA 541.524 527.452 449.55
"148007" NA NA 586.08 601.212 519.614
"148008" 0 1 500.712 494.164 490.684
"148009" 1 1 518.466 528.572 515.07
"148010" 0 1 371.014 382.732 395.832
"148011" 1 1 552.12 593.566 539.978
"148012" NA NA 567.462 590.49 510.796
"148013" 0 0 578.758 593.936 624.14
"148014" NA NA 495.49 486.702 432.714
"148015" 1 0 540.278 492.578 511.018
"148016" NA NA 566.608 657.722 560.5
"148017" 0 0 524.624 515.052 468.914
"148018" 1 0 458.256 525.588 490.684
"148019" NA 1 602.284 634.596 564.024
"148020" 1 1 607.658 665.086 581.664
"148021" NA 0 503.67 505.726 447.546
"148022" 1 1 603.604 655.856 551.68
"148023" NA 0 559.752 573.89 506.544
"148024" 0 0 482.404 553.096 461.972
"148025" 1 1 487.31 526.986 481.626
"148026" NA NA 516.208 563.538 548.434
"148027" 0 1 503.356 575.66 546.132
"148028" 1 0 518.936 528.76 476.484
"148029" 1 1 495.958 565.31 521.138
"148030" 0 0 372.182 437.094 433.564
"148031" 1 1 522.906 569.602 498.93
"148032" 1 1 473.134 568.018 546.292
"148033" 0 0 517.456 562.046 516.246
"148034" NA NA 490.114 561.956 572.188
"148035" 1 0 456.544 455.558 355.028
"148036" NA NA 419.7 451.084 369.142
"148037" NA NA 408.404 517.288 482.096
"148038" NA NA 402.254 483.628 439.284
"148039" 1 1 545.42 565.59 566.432
"148040" 0 0 533.738 600.464 540.858
"148041" NA NA 339.78 386.274 375.098
